,x1,x2,x3,y
226,20.416440396,167.318243689,1.0,153.891882844
227,25.3297748104,178.957048002,1.0,177.356937235
228,28.6901732912,189.215779956,1.0,183.158413301
230,6.43156245909,171.533821338,1.0,166.360228933
231,24.9320425293,200.642706671,1.0,187.521500483
232,12.5222378669,178.577001424,1.0,171.213275257
234,18.6250270189,186.080902357,1.0,175.517713373
235,23.9522160555,175.995313638,1.0,159.856055951
236,20.6417620437,188.549006589,1.0,177.414479554
237,10.7002014209,189.065867106,1.0,184.272450497
238,16.3471790153,196.558984563,1.0,191.819098271
239,18.5635824628,167.468484671,1.0,158.666512207
240,33.0935045715,190.170083404,1.0,183.536965038
241,16.1114289502,145.662247782,1.0,133.092786979
242,16.5640895686,186.13435548,1.0,177.155033029
244,28.8128907258,160.494731918,1.0,150.132941574
246,18.0989693403,189.693200143,1.0,174.520852177
247,4.2530970697,154.246463303,1.0,143.209236456
248,14.9735622691,194.750574926,1.0,196.623762932
250,22.5184746137,177.780747402,1.0,176.479307199
251,25.3530214162,177.483888666,1.0,167.39228003
252,27.3320504739,186.603869187,1.0,171.838452522
253,6.58706266248,142.549917338,1.0,140.06786757
254,24.8706246718,190.782494686,1.0,183.681903185
255,8.16199565604,190.47230558,1.0,182.257034122
256,9.47466310775,150.477972161,1.0,141.056977503
257,6.46105424008,166.646576895,1.0,159.948935161
258,20.0824759601,178.879411668,1.0,165.785116536
259,20.7910378447,203.719164477,1.0,193.847892478
260,7.81805291605,164.955975667,1.0,156.799456612
261,24.4895036375,160.103317863,1.0,148.736600731
262,24.0993729538,147.796298755,1.0,142.478301229
263,26.5998103523,183.137071995,1.0,167.945029601
264,20.1672243873,177.352185933,1.0,175.454436994
265,9.76970301542,159.223235538,1.0,149.650541978
266,12.2454415113,172.153520406,1.0,161.245784349
267,12.6897644263,182.31918375,1.0,162.202081268
268,4.40335429439,162.276276733,1.0,150.025044929
270,19.9184010352,165.181480881,1.0,159.352644639
271,15.9118109934,169.088197122,1.0,163.794353048
273,32.6952849819,181.131453821,1.0,180.826192678
274,16.7378816729,180.18456449,1.0,166.003207408
275,23.5006672239,191.684063753,1.0,182.128694769
276,9.18975813845,165.004797452,1.0,148.090298415
277,32.4465641208,168.672558653,1.0,152.948352768
278,18.1624086731,197.795119368,1.0,185.78031069
279,15.1517651353,209.448528666,1.0,205.46475366
283,26.1438822193,164.708768527,1.0,160.059834277
284,24.4438666658,184.179899533,1.0,176.939417905
285,7.06933689236,166.408027469,1.0,159.617982182
286,23.6757770805,167.950510013,1.0,152.316356814
287,14.2112225411,175.594998309,1.0,166.485518708
288,28.1267943511,203.128073938,1.0,186.262865267
289,27.5489105512,181.663651234,1.0,179.950487335
291,36.2289562509,190.905584723,1.0,175.549525496
293,20.4754834105,178.543837837,1.0,178.975453686
296,12.1373198276,167.47892978,1.0,166.197952385
297,21.4042036916,159.514656484,1.0,149.733611719
298,9.6226332469,199.41908567,1.0,191.443602422
299,13.1804556934,147.025734935,1.0,141.79176209
300,8.19070022773,183.849621065,1.0,172.5175797
302,4.05130181819,188.691283894,1.0,176.416380327
304,12.0276747095,173.887886543,1.0,162.266369099
305,25.8914564388,192.664252318,1.0,183.416159322
307,14.8222192372,206.035697001,1.0,203.23068722
308,6.69758517886,196.899949351,1.0,186.794608588
309,14.2371052015,189.895914594,1.0,179.738770201
310,21.1061472104,195.778707765,1.0,195.725297551
312,11.8630050025,165.837846892,1.0,161.167198865
314,12.7987535449,176.209202665,1.0,160.553711271
315,32.6219943809,169.140181888,1.0,157.904108337
316,12.0090472894,161.273685698,1.0,145.174355384
317,14.0318293048,151.59015119,1.0,147.510703224
318,19.6599113095,186.200200339,1.0,166.957240398
320,13.2008063044,177.36885079,1.0,176.74966795
321,28.2548238225,187.527062338,1.0,177.373403701
322,7.80107020887,178.292503644,1.0,175.221669827
324,22.7363045374,153.772261314,1.0,148.337668256
325,12.1153703236,200.615532982,1.0,188.936327593
326,16.3925081379,161.030325853,1.0,153.666714542
328,5.79339738203,197.575157263,1.0,187.95504731
329,25.114019708,174.420905257,1.0,171.875670997
330,28.2846327105,214.675078421,1.0,205.943158344
331,19.3390586883,173.234686705,1.0,153.218641264
332,35.4819248279,191.77866037,1.0,187.348525777
333,20.2315355631,180.68094421,1.0,175.896702722
334,17.989104396,165.8918402,1.0,156.846403031
336,7.88378124761,165.723447757,1.0,164.710801465
337,11.2105847445,155.921658028,1.0,141.706835729
338,4.6302790574,194.374002277,1.0,172.68387401
339,14.5374973212,195.550298636,1.0,195.057697006
341,10.6090735734,173.648421877,1.0,169.36348377
342,29.8416712636,162.412485534,1.0,156.658421138
343,20.3709264244,179.653625871,1.0,172.453415029
344,38.4966908418,151.775326866,1.0,139.00375436
346,15.1275556965,144.216667154,1.0,128.232286539
347,16.5740847789,190.823678173,1.0,177.53824941
348,17.4212346393,174.280119093,1.0,166.95661461
349,19.8015641645,172.651426609,1.0,165.529148993
350,4.00177843116,168.946075677,1.0,166.649090514
351,4.11075750938,212.915824499,1.0,208.984700002
352,21.2413309188,179.256031783,1.0,169.193171311
354,20.1038926001,161.953476402,1.0,158.900262277
355,16.6189908583,162.553083199,1.0,149.563066902
357,18.5232385383,209.713115565,1.0,191.255542814
358,25.4871827148,183.505801133,1.0,167.907998067
359,15.0337735503,169.846181109,1.0,159.077096446
360,30.3619638677,186.403225886,1.0,172.603232932
361,14.6793606616,180.701056106,1.0,164.424746872
362,23.5698991421,167.1373221,1.0,156.306447993
363,15.6700534291,159.888050338,1.0,154.255074793
364,20.7628237547,187.084224127,1.0,176.115560931
365,15.2820407201,161.482714501,1.0,149.21861136
367,12.1519556043,189.256030888,1.0,175.555171902
369,15.6666314616,173.779935926,1.0,173.195540112
370,7.95690818197,151.907640975,1.0,146.765433488
371,23.1878246291,157.022039,1.0,151.811875765
372,6.26200487028,171.87117238,1.0,166.62983248
375,32.3930204056,179.854930382,1.0,170.564189475
376,36.3277500415,163.032717165,1.0,154.429344169
377,18.0918910296,200.532523993,1.0,189.296748608
378,8.03341031833,194.424825663,1.0,185.353102099
379,22.8284630961,148.171344796,1.0,139.133521167
380,12.9222232051,146.417972915,1.0,142.916884297
381,15.5678387459,197.464962609,1.0,173.78652984
382,6.85610382284,162.927105825,1.0,155.898106076
383,14.3144534244,186.059466761,1.0,178.266303031
385,24.1481991125,153.219105256,1.0,142.346253009
386,4.7641380399,160.845752266,1.0,152.248505148
387,9.92847687283,164.828832092,1.0,152.207096833
388,17.205795107,179.836231139,1.0,172.46146939
389,29.7671972548,180.970185661,1.0,167.412877448
390,27.4053478033,187.18828229,1.0,180.84528039
391,21.5476579491,161.932149492,1.0,151.773578234
392,23.7498773912,185.812713422,1.0,171.188620338
393,19.9237269037,177.349624868,1.0,162.169112022
394,20.9610836802,168.350854133,1.0,160.060027209
395,19.1411892207,177.99379401,1.0,162.620676759
396,27.2152095074,179.393663158,1.0,174.791375858
398,12.73225104,155.775346877,1.0,141.889608627
399,23.2003131038,163.47271702,1.0,153.43257268
